model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 70,1,64,250,0.001,128,0.10417105257511139,0.25128835439682007,0.3227553963661194,0.9527667164802551,0.039900485426187515,0.15823787450790405,0.19975106418132782,0.9824082851409912,18.813779830932617
model 71,1,64,250,0.001,32,0.14866861701011658,0.3050440847873688,0.38557568192481995,0.9325907826423645,0.04527175799012184,0.1686813086271286,0.21277160942554474,0.9800401329994202,46.49591279029846
model 72,1,64,250,0.001,64,0.1238970160484314,0.27612048387527466,0.35199007391929626,0.9438222050666809,0.04108485206961632,0.16007409989833832,0.20269398391246796,0.9818861484527588,28.072847843170166
model 73,1,64,500,0.0001,128,0.13140450417995453,0.2837979197502136,0.36249759793281555,0.9404183030128479,0.040677107870578766,0.1612945795059204,0.20168566703796387,0.9820659160614014,43.88421034812927
model 74,1,64,500,0.0001,32,0.16884921491146088,0.3253399431705475,0.4109126627445221,0.9234402775764465,0.03901810944080353,0.1559654027223587,0.19753001630306244,0.9827972650527954,99.39625668525696
model 75,1,64,500,0.0001,64,0.13646018505096436,0.2901531755924225,0.36940518021583557,0.9381256699562073,0.03772430494427681,0.1538088172674179,0.1942274570465088,0.9833677411079407,61.328025102615356
model 76,1,64,500,0.0005,128,0.10209092497825623,0.2508276104927063,0.31951671838760376,0.9537100791931152,0.038008689880371094,0.15134629607200623,0.1949581801891327,0.983242392539978,39.23716878890991
model 77,1,64,500,0.0005,32,0.14153067767620087,0.29941973090171814,0.3762056231498718,0.93582683801651,0.04093405604362488,0.1614655703306198,0.20232166349887848,0.9819525480270386,90.8518717288971
model 78,1,64,500,0.0005,64,0.11855959892272949,0.2695067822933197,0.34432485699653625,0.9462427496910095,0.04006894305348396,0.15715056657791138,0.2001722902059555,0.9823340177536011,60.25183129310608
model 79,1,64,500,0.001,128,0.0886695384979248,0.23305080831050873,0.2977743148803711,0.9597954750061035,0.041536539793014526,0.16160140931606293,0.20380514860153198,0.9816869497299194,39.444873332977295
model 80,1,64,500,0.001,32,0.1529659479856491,0.30930182337760925,0.39110860228538513,0.9306422472000122,0.04730178415775299,0.1737564653158188,0.21748973429203033,0.9791451096534729,93.9979465007782
model 81,1,64,500,0.001,64,0.10111319273710251,0.25112366676330566,0.3179830014705658,0.9541534781455994,0.04276066645979881,0.16633236408233643,0.20678652822971344,0.981147289276123,59.06980109214783
model 82,2,16,100,0.0001,128,0.6243953108787537,0.6156032085418701,0.790186882019043,0.7168862223625183,0.07075449824333191,0.20809294283390045,0.26599717140197754,0.9688050746917725,9.51601791381836
model 83,2,16,100,0.0001,32,0.41171786189079285,0.4976619780063629,0.6416524648666382,0.813318133354187,0.06675239652395248,0.1986566185951233,0.25836485624313354,0.9705694913864136,22.445714235305786
model 84,2,16,100,0.0001,64,0.42341411113739014,0.5009742379188538,0.6507027745246887,0.808014452457428,0.0666067823767662,0.20741654932498932,0.25808289647102356,0.9706337451934814,13.475396633148193
model 85,2,16,100,0.0005,128,0.30318087339401245,0.420509397983551,0.5506186485290527,0.8625311851501465,0.07389000803232193,0.2150648832321167,0.27182716131210327,0.9674226641654968,9.413567781448364
model 86,2,16,100,0.0005,32,0.24352143704891205,0.3786240220069885,0.493478924036026,0.8895819187164307,0.05289585888385773,0.18384572863578796,0.22999100387096405,0.976678729057312,23.245872974395752
model 87,2,16,100,0.0005,64,0.25683489441871643,0.3864920139312744,0.5067887902259827,0.8835458159446716,0.051159437745809555,0.1824340969324112,0.22618451714515686,0.9774443507194519,14.624818325042725
model 88,2,16,100,0.001,128,0.22411082684993744,0.36556464433670044,0.4734034538269043,0.8983835577964783,0.056595657020807266,0.1875198781490326,0.23789842426776886,0.9750475883483887,9.446071147918701
model 89,2,16,100,0.001,32,0.21675525605678558,0.36071911454200745,0.4655698239803314,0.9017199277877808,0.048335835337638855,0.1772334724664688,0.21985411643981934,0.9786891937255859,22.99089241027832
model 90,2,16,100,0.001,64,0.2033834606409073,0.34363853931427,0.450980544090271,0.9077813029289246,0.05879882350564003,0.18902035057544708,0.2424846887588501,0.9740762114524841,13.698603630065918
model 91,2,16,250,0.0001,128,0.3475668430328369,0.4535510540008545,0.5895479917526245,0.842406153678894,0.06897580623626709,0.20499396324157715,0.26263245940208435,0.9695892930030823,37.99719262123108
model 92,2,16,250,0.0001,32,0.31998804211616516,0.4357318878173828,0.5656748414039612,0.8549108505249023,0.05585859715938568,0.18826504051685333,0.23634423315525055,0.9753724932670593,76.76672267913818
model 93,2,16,250,0.0001,64,0.3146597445011139,0.4275261163711548,0.5609453916549683,0.8573275804519653,0.06197459250688553,0.20037245750427246,0.24894696474075317,0.9726760387420654,60.28852367401123
model 94,2,16,250,0.0005,128,0.18077732622623444,0.3250848054885864,0.4251791834831238,0.9180319905281067,0.06305017322301865,0.1985972672700882,0.2510979473590851,0.9722018241882324,21.923231601715088
model 95,2,16,250,0.0005,32,0.2237492948770523,0.3653969466686249,0.4730214476585388,0.8985480666160583,0.05490618571639061,0.18579445779323578,0.23432068526744843,0.975792407989502,55.91973257064819
model 96,2,16,250,0.0005,64,0.17609933018684387,0.3247862458229065,0.41964191198349,0.9201525449752808,0.06565360724925995,0.2034774124622345,0.25622960925102234,0.9710540175437927,32.92855262756348
model 97,2,16,250,0.001,128,0.1520281434059143,0.2978581190109253,0.3899078667163849,0.9310676455497742,0.06484407186508179,0.20047080516815186,0.2546449899673462,0.9714109301567078,22.77504324913025
model 98,2,16,250,0.001,32,0.2217341512441635,0.36698389053344727,0.47088655829429626,0.8994607925415039,0.06439715623855591,0.20427274703979492,0.25376594066619873,0.9716079235076904,59.12318181991577
