model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,train_R2,val_MSE,val_MAE,val_RMSE,val_R2,training_time
model 79,Smoothed Triangular,3,0.001,64,250,0.10647932440042496,0.2639741003513336,0.32631170749664307,0.9565394520759583,0.10348162055015564,0.257221519947052,0.3216855823993683,0.9580841660499573,43.86676740646362
model 80,Smoothed Triangular,4,0.001,64,250,0.10632099956274033,0.2637332081794739,0.3260689973831177,0.9566041827201843,0.10336683690547943,0.2568284571170807,0.32150712609291077,0.9581306576728821,92.02677893638611
model 81,Smoothed Triangular,5,0.001,64,250,0.10653112828731537,0.2639400362968445,0.3263910710811615,0.9565181732177734,0.10337283462285995,0.2571565508842468,0.3215164542198181,0.9581282734870911,238.099707365036
model 82,Gaussian,3,0.0001,128,500,0.3699679970741272,0.4993034601211548,0.6082499623298645,0.8489941358566284,0.3588702976703644,0.4935961067676544,0.5990578532218933,0.8546375632286072,59.19986176490784
model 83,Gaussian,4,0.0001,128,500,0.86558997631073,0.8747024536132812,0.9303708672523499,0.6467007994651794,0.8402037024497986,0.8632111549377441,0.9166262745857239,0.6596708297729492,260.0671696662903
model 84,Gaussian,5,0.0001,128,500,0.9002186059951782,0.8940443396568298,0.9487984776496887,0.6325661540031433,0.8756787180900574,0.8830649256706238,0.9357770681381226,0.6453014612197876,709.2887649536133
model 85,Generalized Bell,3,0.0001,128,500,0.7529188394546509,0.7976908087730408,0.8677089810371399,0.6926881670951843,0.729435920715332,0.7869221568107605,0.8540701866149902,0.7045378684997559,63.100362062454224
model 86,Generalized Bell,4,0.0001,128,500,0.65360027551651,0.7368718385696411,0.8084554672241211,0.7332254648208618,0.6285747289657593,0.7261578440666199,0.7928270697593689,0.7453923225402832,287.99510526657104
model 87,Generalized Bell,5,0.0001,128,500,0.6716339588165283,0.7069370150566101,0.8195327520370483,0.7258663177490234,0.6745221018791199,0.7084994912147522,0.8212929368019104,0.7267810106277466,780.2744286060333
model 88,Smoothed Triangular,3,0.0001,128,500,18.44705581665039,3.994157075881958,4.295003414154053,-6.5293869972229,18.68535804748535,4.021780490875244,4.322656154632568,-6.56860876083374,64.85064601898193
model 89,Smoothed Triangular,4,0.0001,128,500,8.096542358398438,1.6629905700683594,2.845442295074463,-2.3046875,8.452452659606934,1.6792690753936768,2.9073102474212646,-2.423713445663452,254.13289070129395
model 90,Smoothed Triangular,5,0.0001,128,500,14.649559020996094,3.0445992946624756,3.8274741172790527,-4.979368686676025,14.734050750732422,3.0297112464904785,3.838495969772339,-4.968109607696533,638.6165578365326
model 91,Gaussian,3,0.0005,128,500,0.1041140928864479,0.260336697101593,0.3226671516895294,0.9575047492980957,0.09877301007509232,0.2522917091846466,0.31428173184394836,0.959991455078125,61.27646780014038
model 92,Gaussian,4,0.0005,128,500,0.09799192100763321,0.25240254402160645,0.31303662061691284,0.9600034952163696,0.09407700598239899,0.24417562782764435,0.30671975016593933,0.9618935585021973,295.7020366191864
model 93,Gaussian,5,0.0005,128,500,0.0903778001666069,0.24465908110141754,0.30062901973724365,0.9631114602088928,0.08796956390142441,0.2409411519765854,0.2965966463088989,0.9643674492835999,826.7486279010773
model 94,Generalized Bell,3,0.0005,128,500,0.10134474188089371,0.25704729557037354,0.31834688782691956,0.958635151386261,0.09676790982484818,0.24888791143894196,0.3110754191875458,0.9608036279678345,64.43387174606323
model 95,Generalized Bell,4,0.0005,128,500,0.09212584793567657,0.2431555539369583,0.30352240800857544,0.9623978734016418,0.08928259462118149,0.2384888231754303,0.2988019287586212,0.963835597038269,302.3282244205475
model 96,Generalized Bell,5,0.0005,128,500,0.0965227410197258,0.25052228569984436,0.3106811046600342,0.9606032967567444,0.09269046783447266,0.24391132593154907,0.3044510781764984,0.9624552130699158,848.766387462616
model 97,Smoothed Triangular,3,0.0005,128,500,20.55845832824707,4.255402565002441,4.534143447875977,-7.3911542892456055,20.729536056518555,4.273259162902832,4.552969932556152,-7.396614074707031,65.62619304656982
model 98,Smoothed Triangular,4,0.0005,128,500,4.625575542449951,2.1099400520324707,2.1507151126861572,-0.8879749774932861,4.605055809020996,2.104602813720703,2.145939350128174,-0.865303635597229,307.080899477005
